HK1,HK2,HK3,GCK,cell_type,class,tissue
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte precursor cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,glutamatergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
True,False,False,False,endothelial cell of artery,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,capillary endothelial cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,mural cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,capillary endothelial cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,mural cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte precursor cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,endothelial cell of artery,Non-Neuronal,Brodmann (1909) area 4
True,False,False,False,capillary endothelial cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,True,False,False,oligodendrocyte precursor cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte precursor cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,mural cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,glutamatergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
True,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,microglial cell,Non-Neuronal,Brodmann (1909) area 4
False,True,False,False,microglial cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
True,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte precursor cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,glutamatergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,microglial cell,Non-Neuronal,Brodmann (1909) area 4
True,False,False,False,oligodendrocyte precursor cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,mural cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,glutamatergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,capillary endothelial cell,Non-Neuronal,Brodmann (1909) area 4
True,False,False,False,cerebellar granule cell,Neuronal,Brodmann (1909) area 4
False,False,False,False,capillary endothelial cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,mural cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
True,False,False,False,GABAergic neuron,Neuronal,Brodmann (1909) area 4
False,False,False,False,capillary endothelial cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte precursor cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,endothelial cell of artery,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,capillary endothelial cell,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
False,False,False,False,oligodendrocyte,Non-Neuronal,Brodmann (1909) area 4
